epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.91261,3.91375,198.396,1.22519,0,0,0,0,3.49868,365.409,0.98022,8e-05,8e-05,8e-05
2,4.72419,3.62391,289.43,1.21409,0,0,0,0,3.45717,334.24,0.97648,0.000179956,0.000179956,0.000179956
3,7.21813,3.56365,307.997,1.21212,0.00078,0.23333,0.00058,0.00018,3.45776,53.7581,1.08189,0.000279727,0.000279727,0.000279727
4,9.87445,3.20143,32.2955,1.04068,0.18317,0.06667,0.04501,0.01291,3.20116,70.3012,0.96525,0.000379165,0.000379165,0.000379165
5,11.7181,3.23192,14.473,1.00755,0.11797,0.16667,0.06378,0.01384,2.76278,15.1598,0.93974,0.000478126,0.000478126,0.000478126
6,14.1336,3.23532,9.00187,0.94876,0.59857,0.3,0.29409,0.06735,3.08306,14.4955,0.95553,0.000576465,0.000576465,0.000576465
7,15.9716,2.93298,4.76947,0.91324,0.05599,0.23333,0.02385,0.00554,3.29537,57.5517,0.98143,0.000674038,0.000674038,0.000674038
8,17.8434,2.95295,3.63312,0.92624,0.60631,0.16667,0.18109,0.07228,3.01131,19.6969,0.9498,0.000770701,0.000770701,0.000770701
9,19.6829,3.05206,2.89875,0.92689,0.96277,0.23333,0.27301,0.10642,3.01577,3.87883,0.97059,0.000866315,0.000866315,0.000866315
10,22.4108,2.88081,3.22286,0.96034,0.39295,0.38864,0.36531,0.11813,3.24332,8.73725,1.01407,0.000960738,0.000960738,0.000960738
11,24.7841,3.46438,3.80368,0.99106,0.03243,0.16667,0.01566,0.00347,3.44467,41.1562,1.0159,0.00105383,0.00105383,0.00105383
12,26.5488,3.15203,3.43754,0.95055,0.04943,0.06667,0.01526,0.00392,3.42789,nan,0.98482,0.00114547,0.00114547,0.00114547
13,28.2753,2.83962,3.01376,0.93094,0.01212,0.23333,0.00495,0.00095,3.70942,nan,0.97202,0.00123551,0.00123551,0.00123551
14,30.2128,2.89657,2.44119,0.93873,0.3632,0.13333,0.07809,0.01901,3.55852,3.02587,1.0179,0.00132382,0.00132382,0.00132382
15,32.0396,2.86889,2.22438,0.92165,0.56444,0.06667,0.04755,0.00745,4.41726,5.90913,1.16849,0.00141028,0.00141028,0.00141028
16,33.9211,2.75577,2.23424,0.89337,0.0601,0.2,0.04934,0.00946,3.71609,46.3691,0.97294,0.00149476,0.00149476,0.00149476
17,36.4739,3.38128,2.30396,0.9589,0.01105,0.1,0.00259,0.00068,2.96981,nan,0.99797,0.00157714,0.00157714,0.00157714
18,38.7108,3.1437,2.08034,0.9265,0.1601,0.03333,0.01361,0.00367,3.21236,3.44523,1.08771,0.0016573,0.0016573,0.0016573
19,40.5681,2.82631,1.99656,0.99185,0.39376,0.13333,0.14242,0.02521,2.61815,2.83962,0.88791,0.00173513,0.00173513,0.00173513
20,42.3486,2.80674,1.53298,0.96076,0.19048,0.13333,0.1718,0.03778,3.50354,nan,1.04376,0.00181052,0.00181052,0.00181052
21,44.0907,2.86295,1.83624,0.97565,0,0,0,0,5.09671,nan,1.2862,0.00181093,0.00181093,0.00181093
22,46.0785,2.86673,1.80766,0.92241,0.03448,0.03333,0.01813,0.00363,1.84942,nan,0.59397,0.00179225,0.00179225,0.00179225
23,47.9539,2.77838,1.50095,0.92927,0,0,0,0,1.83395,1.83301,0.47268,0.00177281,0.00177281,0.00177281
24,50.6138,2.82369,1.37656,0.91755,0.0566,0.03333,0.00686,0.00069,3.74957,2.91211,0.98573,0.00175261,0.00175261,0.00175261
25,52.7289,2.89538,1.60432,0.9248,0.31113,0.03333,0.01639,0.00164,1.86299,1.86523,0.43444,0.00173168,0.00173168,0.00173168
26,54.5939,2.96074,1.47067,0.91572,0.12841,0.03333,0.01131,0.00226,3.52726,2.01367,0.85893,0.00171004,0.00171004,0.00171004
27,56.4247,2.72962,1.34934,0.88445,0.4332,0.16667,0.11313,0.03219,2.8922,2.48422,0.95409,0.0016877,0.0016877,0.0016877
28,58.2047,2.6659,1.40342,0.88559,0.82304,0.03333,0.04838,0.00484,1.82604,0.8208,0.39023,0.0016647,0.0016647,0.0016647
29,60.0181,3.01673,1.57871,0.87222,0,0,0,0,0.3192,0.18848,0.11891,0.00164105,0.00164105,0.00164105
30,62.0345,2.76977,1.5094,0.93935,0.17647,0.2,0.14439,0.05165,3.08968,2.8084,0.9589,0.00161678,0.00161678,0.00161678
31,64.6973,2.61158,1.2515,0.91939,0.30205,0.1,0.1364,0.04827,3.46165,3.88618,0.99316,0.00159191,0.00159191,0.00159191
32,66.859,2.59233,1.35057,0.89913,0.318,0.06667,0.05859,0.02094,4.47516,3.07118,1.04158,0.00156646,0.00156646,0.00156646
33,68.7321,2.49397,1.3417,0.9279,0.16234,0.06667,0.03909,0.01416,4.51195,3.35351,1.04542,0.00154047,0.00154047,0.00154047
34,70.5722,2.44771,1.3338,0.90597,0.03249,0.06667,0.00904,0.00362,4.53756,4.25794,1.06761,0.00151395,0.00151395,0.00151395
35,72.3841,2.55991,1.22719,0.88309,0.0362,0.06667,0.0126,0.00362,3.8469,4.53037,1.05088,0.00148694,0.00148694,0.00148694
36,74.2219,2.59776,1.38419,0.87309,0.15699,0.33333,0.08613,0.02492,2.87712,3.92531,0.95582,0.00145945,0.00145945,0.00145945
37,76.2626,2.48629,1.16056,0.86682,0.1935,0.46667,0.1879,0.05925,2.93839,3.61628,0.94218,0.00143152,0.00143152,0.00143152
38,78.7045,2.3659,1.15526,0.89169,0.45666,0.3,0.29768,0.08109,2.93078,2.37808,0.93959,0.00140318,0.00140318,0.00140318
39,80.9065,2.22164,1.07341,0.88655,0.53759,0.33333,0.3702,0.11012,2.84614,1.86573,0.93745,0.00137444,0.00137444,0.00137444
40,82.8792,2.55169,1.21561,0.89231,0.44112,0.52635,0.3874,0.14006,2.60243,1.75157,0.90421,0.00134535,0.00134535,0.00134535
41,84.7805,2.31418,1.07708,0.87303,0.48711,0.53333,0.47209,0.16505,2.74746,1.84604,0.9096,0.00131593,0.00131593,0.00131593
42,86.6371,2.3029,1.04238,0.83121,0.52026,0.32567,0.33201,0.11283,3.20259,1.85581,0.92704,0.0012862,0.0012862,0.0012862
43,88.4289,2.25235,1.09068,0.82813,0.77372,0.46667,0.5215,0.15885,2.97279,1.66155,0.90766,0.0012562,0.0012562,0.0012562
44,90.6909,2.52676,1.08754,0.88924,0.70622,0.6,0.63922,0.247,2.4418,1.40608,0.8801,0.00122596,0.00122596,0.00122596
45,93.4993,2.20744,1.07506,0.83102,0.8754,0.5,0.67555,0.24081,2.3253,1.40488,0.86226,0.00119551,0.00119551,0.00119551
46,95.397,2.28731,1.01124,0.86446,0.8624,0.43333,0.59925,0.2183,2.3875,1.63355,0.85953,0.00116487,0.00116487,0.00116487
47,97.2731,2.51612,1.29275,0.8674,0.92731,0.42565,0.57657,0.20817,2.39545,1.83299,0.85819,0.00113408,0.00113408,0.00113408
48,99.0743,2.50876,1.35225,0.8818,0.57991,0.59825,0.51687,0.14534,2.50828,1.83964,0.86702,0.00110317,0.00110317,0.00110317
49,100.877,2.33819,1.0861,0.86602,0.6124,0.5796,0.56572,0.16555,2.40693,1.83618,0.86015,0.00107216,0.00107216,0.00107216
50,102.723,2.2507,1.07339,0.87099,0.64106,0.53333,0.57694,0.20829,2.24419,1.79313,0.84937,0.0010411,0.0010411,0.0010411
51,105.017,2.3308,1.08635,0.88971,0.81309,0.5,0.57388,0.26796,2.09176,1.69532,0.84505,0.00101,0.00101,0.00101
52,107.565,2.2251,0.90337,0.87085,0.75071,0.502,0.62075,0.29308,2.20114,1.63306,0.85311,0.000978903,0.000978903,0.000978903
53,109.479,2.2424,1.09336,0.85646,0.7478,0.49442,0.63588,0.24942,2.3364,1.65475,0.8607,0.000947837,0.000947837,0.000947837
54,111.233,2.33031,1.04813,0.86699,0.54735,0.6,0.62249,0.20871,2.52765,1.60498,0.88244,0.000916833,0.000916833,0.000916833
55,113.122,2.11275,0.92336,0.87534,0.52165,0.56667,0.58948,0.17144,2.66507,1.57649,0.89445,0.00088592,0.00088592,0.00088592
56,114.944,2.17157,0.98214,0.86303,0.85496,0.58983,0.73474,0.26301,2.33336,1.47565,0.86699,0.00085513,0.00085513,0.00085513
57,116.785,2.01173,0.87777,0.8298,0.81969,0.63333,0.75409,0.30796,2.15001,1.36319,0.85245,0.000824492,0.000824492,0.000824492
58,119.185,2.09891,0.9575,0.84493,0.8317,0.65916,0.75484,0.35406,2.03728,1.30591,0.84191,0.000794038,0.000794038,0.000794038
59,121.734,2.18705,0.90857,0.84016,0.79799,0.65863,0.75787,0.35892,2.0324,1.27757,0.83937,0.000763797,0.000763797,0.000763797
60,123.945,2.20577,1.03953,0.81742,0.8437,0.72002,0.77461,0.36323,2.00385,1.21225,0.83555,0.000733799,0.000733799,0.000733799
61,126.162,2.32236,1.11814,0.86483,0.80007,0.73333,0.77005,0.35614,1.9872,1.18839,0.83382,0.000704073,0.000704073,0.000704073
62,128.047,2.06468,1.15171,0.84752,0.85267,0.73333,0.77028,0.35247,2.06372,1.14639,0.83988,0.000674649,0.000674649,0.000674649
63,129.793,2.02885,0.94091,0.841,0.84587,0.73333,0.76443,0.32095,2.17888,1.1338,0.85358,0.000645557,0.000645557,0.000645557
64,131.672,2.11485,0.91353,0.84098,0.85392,0.56667,0.69235,0.29247,2.22503,1.12878,0.85749,0.000616824,0.000616824,0.000616824
65,134.222,2.10358,0.92315,0.85053,0.90303,0.63333,0.74653,0.29747,2.21842,1.13728,0.85712,0.000588479,0.000588479,0.000588479
66,136.455,2.27033,0.89981,0.84409,0.94661,0.59134,0.74699,0.29582,2.19811,1.15703,0.85456,0.000560549,0.000560549,0.000560549
67,138.311,2.23886,0.87912,0.88119,0.94681,0.59369,0.7426,0.27528,2.22056,1.20862,0.85828,0.000533064,0.000533064,0.000533064
68,140.075,2.16837,0.9541,0.85639,0.91121,0.6,0.7451,0.25948,2.37394,1.28823,0.86947,0.000506049,0.000506049,0.000506049
69,141.888,2.23815,0.88314,0.88501,0.93523,0.6,0.72175,0.25093,2.42906,1.28863,0.87356,0.000479531,0.000479531,0.000479531
70,143.733,2.14278,0.91524,0.81895,0.86704,0.66667,0.76343,0.26537,2.42943,1.26001,0.86913,0.000453537,0.000453537,0.000453537
71,145.413,2.06671,0.75103,0.84822,0.93774,0.6,0.76042,0.28498,2.38389,1.24995,0.86651,0.000428093,0.000428093,0.000428093
72,148.113,1.97694,0.74948,0.83521,0.77718,0.73333,0.74614,0.32788,2.262,1.1861,0.85765,0.000403222,0.000403222,0.000403222
73,150.353,1.87934,0.7611,0.84993,0.8149,0.7,0.74664,0.33879,2.23098,1.18603,0.85712,0.00037895,0.00037895,0.00037895
74,152.147,2.13079,0.94482,0.84481,0.94698,0.59552,0.7403,0.30455,2.27035,1.20133,0.85596,0.000355301,0.000355301,0.000355301
75,153.976,2.14731,0.81202,0.83139,0.94678,0.59328,0.74235,0.29218,2.26218,1.21405,0.85752,0.000332298,0.000332298,0.000332298
76,155.876,1.93329,0.84644,0.84831,0.71926,0.68351,0.73623,0.3015,2.20818,1.18811,0.85095,0.000309964,0.000309964,0.000309964
77,157.704,2.02059,0.87728,0.85345,0.75125,0.70484,0.73945,0.32568,2.19216,1.1783,0.84856,0.000288321,0.000288321,0.000288321
78,159.531,2.04975,0.80794,0.87275,0.75716,0.72767,0.74182,0.32634,2.17101,1.15415,0.84587,0.00026739,0.00026739,0.00026739
79,162.047,2.00684,0.85002,0.84264,0.7878,0.74273,0.75759,0.35043,2.17593,1.14762,0.84514,0.000247192,0.000247192,0.000247192
80,164.557,2.03012,0.79439,0.82362,0.78965,0.75111,0.78138,0.32485,2.20864,1.11561,0.8455,0.000227747,0.000227747,0.000227747
81,166.373,1.77244,0.78209,0.83817,0.78907,0.74849,0.7857,0.32886,2.20497,1.1182,0.84814,0.000209073,0.000209073,0.000209073
