epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.89382,3.91375,198.396,1.22519,0,0,0,0,3.49868,365.409,0.98022,8e-05,8e-05,8e-05
2,4.68553,3.62391,289.43,1.21409,0,0,0,0,3.45717,334.24,0.97648,0.000178218,0.000178218,0.000178218
3,6.40456,3.56395,307.887,1.21178,0.00078,0.23333,0.00056,0.00017,3.43539,53.8944,1.08103,0.000274456,0.000274456,0.000274456
4,8.91618,3.13497,32.8629,1.03578,0.16124,0.06667,0.04445,0.01262,3.21138,64.3823,0.96774,0.000368714,0.000368714,0.000368714
5,11.3846,3.2903,14.9822,1.01898,0.11759,0.2,0.02972,0.00687,2.86095,36.1872,0.94757,0.000460992,0.000460992,0.000460992
6,13.2984,3.08956,8.73451,0.93864,0.27564,0.3,0.18179,0.04479,3.17211,31.5889,0.94825,0.00055129,0.00055129,0.00055129
7,15.2432,3.01153,5.38677,0.91665,0.39183,0.23333,0.17336,0.03434,3.55144,28.9813,1.0035,0.000639608,0.000639608,0.000639608
8,17.0294,3.12863,3.94283,0.96375,0.55324,0.33333,0.30699,0.0878,3.42145,3.62093,1.02974,0.000725946,0.000725946,0.000725946
9,18.9187,3.01973,3.49248,0.94066,0.01741,0.33333,0.00629,0.0028,3.19748,1011.64,1.03443,0.000810304,0.000810304,0.000810304
10,20.8705,2.88838,2.79706,0.96315,0.30624,0.06667,0.03008,0.00767,3.13734,11.4363,0.98741,0.000892682,0.000892682,0.000892682
11,23.4975,3.29922,3.05827,0.96157,1,0.09452,0.1007,0.02674,3.21921,5.9182,1.03963,0.00097308,0.00097308,0.00097308
12,25.6353,3.22784,2.87666,0.95835,0.64065,0.23333,0.21461,0.0439,3.04204,3.36056,0.98177,0.0010515,0.0010515,0.0010515
13,27.4575,3.03718,2.26396,0.96954,0.06374,0.33333,0.0337,0.00784,2.75592,12.6502,0.91513,0.00112794,0.00112794,0.00112794
14,29.3553,2.81534,2.31714,0.93748,0.77339,0.43333,0.48832,0.12717,2.55412,2.07711,0.87446,0.00120239,0.00120239,0.00120239
15,31.2749,2.89737,1.92914,0.91585,0.48789,0.46667,0.3541,0.08244,2.99001,4.71142,0.92476,0.00127487,0.00127487,0.00127487
16,33.0416,3.03508,1.97032,0.92134,0.17221,0.53333,0.11198,0.02199,3.23552,11.6001,0.98536,0.00134537,0.00134537,0.00134537
17,35.1179,3.06452,1.8684,0.91258,0.02237,0.4,0.012,0.00246,3.31365,1176.02,1.01746,0.00141389,0.00141389,0.00141389
18,37.601,2.76569,1.56231,0.88219,0.05055,0.53333,0.03048,0.00816,2.90161,154.742,0.95206,0.00148043,0.00148043,0.00148043
19,39.665,2.9323,1.99925,0.95031,0.62372,0.56667,0.53475,0.15318,2.79313,1.67338,0.92463,0.00154498,0.00154498,0.00154498
20,41.6995,2.71582,1.59536,0.93945,0.52188,0.33333,0.32306,0.06309,3.29985,2.87564,0.96698,0.00160756,0.00160756,0.00160756
21,43.4662,2.8837,1.80942,0.98812,0.21559,0.23333,0.13363,0.02297,3.61748,4.54883,0.99025,0.001604,0.001604,0.001604
22,45.4339,2.88553,1.59588,0.91,0.39729,0.13333,0.13589,0.02229,3.66731,3.40795,1.00253,0.0015842,0.0015842,0.0015842
23,47.2081,2.67814,1.54492,0.91268,0.26958,0.26667,0.20814,0.06221,3.46738,2.30982,0.98677,0.0015644,0.0015644,0.0015644
24,49.3491,2.78219,1.45168,0.90935,0.43585,0.46667,0.36893,0.11075,2.66487,1.54581,0.87412,0.0015446,0.0015446,0.0015446
25,51.9099,2.71882,1.49629,0.89981,0.50166,0.33333,0.32365,0.11802,2.74172,1.65592,0.89542,0.0015248,0.0015248,0.0015248
26,53.9822,2.67741,1.50054,0.90213,0.50003,0.36667,0.30159,0.07499,3.12435,2.125,0.9628,0.001505,0.001505,0.001505
27,55.8041,2.81754,1.34549,0.88484,0.4878,0.33333,0.29219,0.04306,3.27539,2.93738,0.97507,0.0014852,0.0014852,0.0014852
28,57.5998,2.69517,1.43628,0.88284,0.35703,0.46667,0.2366,0.06358,3.03244,2.02081,0.92185,0.0014654,0.0014654,0.0014654
29,59.4664,2.8862,1.62992,0.87899,0.82645,0.47659,0.52801,0.15899,2.59499,1.8785,0.88429,0.0014456,0.0014456,0.0014456
30,61.3826,2.59635,1.37516,0.93374,0.66483,0.43333,0.45032,0.20042,2.37246,2.13006,0.87686,0.0014258,0.0014258,0.0014258
31,63.7264,2.60127,1.1622,0.92712,0.68229,0.33333,0.41312,0.17903,2.49191,2.88321,0.91107,0.001406,0.001406,0.001406
32,66.3291,2.64168,1.20768,0.90114,0.61327,0.42323,0.37358,0.12568,2.60432,2.51264,0.89109,0.0013862,0.0013862,0.0013862
33,68.1969,2.47977,1.21233,0.90017,0.70219,0.46667,0.4466,0.09819,3.05002,1.86978,0.90102,0.0013664,0.0013664,0.0013664
34,70.0247,2.94942,1.28418,0.93626,0.56454,0.43333,0.41768,0.08356,3.05779,1.77973,0.91686,0.0013466,0.0013466,0.0013466
35,71.9019,2.52262,1.24722,0.89741,0.60696,0.6,0.53067,0.13295,2.69533,1.6051,0.90852,0.0013268,0.0013268,0.0013268
36,73.6901,2.49998,1.2147,0.87431,0.72264,0.66667,0.67006,0.24215,2.41689,1.44893,0.88293,0.001307,0.001307,0.001307
37,75.6632,2.41305,1.14789,0.8758,0.79753,0.63333,0.68722,0.23554,2.49151,1.59776,0.87834,0.0012872,0.0012872,0.0012872
38,77.9811,2.58417,1.10406,0.90444,0.78937,0.6,0.6564,0.24678,2.58062,1.59476,0.88257,0.0012674,0.0012674,0.0012674
39,80.6969,2.32655,0.96486,0.88429,0.63992,0.63333,0.60768,0.22089,2.66757,1.52451,0.893,0.0012476,0.0012476,0.0012476
40,82.7089,2.61822,1.28041,0.89844,0.81573,0.6,0.67406,0.20249,2.72443,1.45307,0.89176,0.0012278,0.0012278,0.0012278
41,84.6042,2.48684,0.96664,0.87678,0.83783,0.63333,0.69161,0.24425,2.39465,1.22099,0.86929,0.001208,0.001208,0.001208
42,86.4745,2.11679,1.05085,0.81161,0.7195,0.63333,0.65879,0.25652,2.28551,1.27208,0.87349,0.0011882,0.0011882,0.0011882
43,88.4042,2.19037,1.06274,0.82715,0.74515,0.66667,0.73162,0.26383,2.14809,1.28607,0.86559,0.0011684,0.0011684,0.0011684
44,90.3303,2.38582,1.08815,0.88057,0.718,0.63333,0.67827,0.20916,2.35497,1.62867,0.87619,0.0011486,0.0011486,0.0011486
45,92.6412,2.34799,0.99597,0.84542,0.78446,0.60681,0.68642,0.21388,2.38917,1.56473,0.87402,0.0011288,0.0011288,0.0011288
46,95.1191,2.19758,1.05956,0.85684,0.85888,0.6,0.67643,0.24656,2.31584,1.56732,0.86772,0.001109,0.001109,0.001109
47,96.8824,2.55676,1.21212,0.86245,0.7299,0.5,0.55726,0.19785,2.50544,1.64493,0.87411,0.0010892,0.0010892,0.0010892
48,98.7401,2.55364,1.37534,0.87734,0.72305,0.43333,0.47217,0.1513,2.43393,1.72919,0.88597,0.0010694,0.0010694,0.0010694
49,100.573,2.24686,1.01945,0.86388,0.71627,0.46667,0.47451,0.18204,2.44989,1.63757,0.86959,0.0010496,0.0010496,0.0010496
50,102.333,2.19617,1.05999,0.87371,0.85957,0.61244,0.66859,0.23749,2.32802,1.40615,0.85915,0.0010298,0.0010298,0.0010298
51,104.006,2.26854,1.01649,0.87662,0.8505,0.63333,0.68671,0.26156,2.26906,1.23823,0.85604,0.00101,0.00101,0.00101
52,106.526,2.21561,0.93906,0.86689,0.63016,0.68181,0.68004,0.25647,2.35807,1.19815,0.86745,0.0009902,0.0009902,0.0009902
53,108.975,2.53973,1.17674,0.86449,0.81466,0.73261,0.73597,0.26073,2.40476,1.28717,0.86722,0.0009704,0.0009704,0.0009704
54,110.765,2.39302,1.04537,0.86762,0.77152,0.66667,0.69632,0.18844,2.79503,1.52375,0.89002,0.0009506,0.0009506,0.0009506
55,112.47,2.3453,0.94548,0.8767,0.86599,0.64659,0.71564,0.17787,2.92093,1.78124,0.90782,0.0009308,0.0009308,0.0009308
56,114.387,2.32228,0.95007,0.87573,0.78007,0.63333,0.68251,0.20914,2.73683,1.89195,0.90183,0.000911,0.000911,0.000911
57,116.16,2.07587,0.88372,0.83578,0.89837,0.6,0.70852,0.2363,2.60124,1.83355,0.89417,0.0008912,0.0008912,0.0008912
58,117.996,2.1495,0.99489,0.84741,0.85598,0.59457,0.69307,0.25987,2.55818,1.85803,0.88614,0.0008714,0.0008714,0.0008714
59,120.288,1.97382,0.9077,0.82772,0.82924,0.6,0.68558,0.26958,2.49576,1.87058,0.8827,0.0008516,0.0008516,0.0008516
60,123.148,2.11655,0.91377,0.81697,0.86572,0.6,0.63689,0.26675,2.46012,1.83897,0.87794,0.0008318,0.0008318,0.0008318
61,125.029,2.39354,1.11396,0.8801,0.86262,0.63333,0.63688,0.23228,2.6023,1.61198,0.87329,0.000812,0.000812,0.000812
62,126.921,2.07262,0.97952,0.85428,0.74864,0.6,0.56711,0.19321,2.68833,1.58323,0.88243,0.0007922,0.0007922,0.0007922
63,128.72,1.99143,0.97837,0.83186,0.71892,0.59692,0.54517,0.18021,2.7643,1.59938,0.88639,0.0007724,0.0007724,0.0007724
64,130.597,2.02746,0.94958,0.82416,0.75617,0.63333,0.61143,0.21583,2.49405,1.45094,0.87029,0.0007526,0.0007526,0.0007526
65,132.366,2.22799,0.97612,0.84152,0.76544,0.65296,0.61934,0.21841,2.48985,1.44858,0.86647,0.0007328,0.0007328,0.0007328
66,134.784,2.18643,0.91763,0.82643,0.72716,0.66667,0.6128,0.24127,2.44614,1.40523,0.86433,0.000713,0.000713,0.000713
67,137.225,2.09273,0.83423,0.85928,0.8304,0.7,0.69979,0.25522,2.45379,1.38901,0.86428,0.0006932,0.0006932,0.0006932
68,139.34,2.15443,0.94118,0.84527,0.82198,0.7,0.72744,0.22758,2.59528,1.33493,0.86852,0.0006734,0.0006734,0.0006734
69,141.243,2.16701,0.87944,0.88054,0.93042,0.66667,0.73,0.25096,2.52459,1.30591,0.86275,0.0006536,0.0006536,0.0006536
